,,,,,,,,,,,
,,,Question_ID,Domain,Difficulty,Question,Option_A,Option_B,Option_C,Option_D,Correct_Option
,,,36,Orientation,Hard,How many months are there in a year?,10,11,12,13,C
,,,37,Memory,Easy,"Remember these words: Apple, Chair, River. Which one was shown?",Apple,Car,Book,Tree,A
,,,38,Memory,Medium,Which sequence did you see earlier: 3-7-2?,3-7-2002,2-7-2003,7-3-2002,3-2-2007,A
,,,39,Memory,Hard,"After some questions, which word was mentioned earlier?",Table,River,Phone,Glass,B
,,,40,Attention,Easy,"What comes next: 2, 4, 6, ?",7,8,9,10,B
,,,41,Attention,Medium,Find the odd one out,Circle,Square,Triangle,Blue,D
,,,42,Attention,Hard,Count backward from 100 by 7. What comes after 93?,86,87,85,88,A
,,,43,Executive Function,Easy,"If today is Monday, tomorrow will be?",Sunday,Tuesday,Friday,Saturday,B
,,,44,Executive Function,Medium,"If you rearrange STOP, you get?",POST,TOPS,POTS,All of these,D
,,,45,Executive Function,Hard,"If today is Wednesday, what day will it be after 9 days?",Friday,Saturday,Sunday,Monday,B
,,,46,Orientation,Easy,Which month comes after March?,February,April,May,June,B
,,,47,Orientation,Medium,What season usually comes after summer?,Winter,Spring,Autumn,Rainy,C
,,,48,Orientation,Hard,How many months are there in a year?,10,11,12,13,C
,,,49,Memory,Easy,"Remember these words: Apple, Chair, River. Which one was shown?",Apple,Car,Book,Tree,A
,,,50,Memory,Medium,Which sequence did you see earlier: 3-7-2?,3-7-2002,2-7-2003,7-3-2002,3-2-2007,A
,,,51,Memory,Hard,"After some questions, which word was mentioned earlier?",Table,River,Phone,Glass,B
,,,52,Attention,Easy,"What comes next: 2, 4, 6, ?",7,8,9,10,B
,,,53,Attention,Medium,Find the odd one out,Circle,Square,Triangle,Blue,D
,,,54,Attention,Hard,Count backward from 100 by 7. What comes after 93?,86,87,85,88,A
,,,55,Executive Function,Easy,"If today is Monday, tomorrow will be?",Sunday,Tuesday,Friday,Saturday,B
,,,56,Executive Function,Medium,"If you rearrange STOP, you get?",POST,TOPS,POTS,All of these,D
,,,57,Executive Function,Hard,"If today is Wednesday, what day will it be after 9 days?",Friday,Saturday,Sunday,Monday,B
,,,58,Orientation,Easy,Which month comes after March?,February,April,May,June,B
,,,59,Orientation,Medium,What season usually comes after summer?,Winter,Spring,Autumn,Rainy,C
,,,60,Orientation,Hard,How many months are there in a year?,10,11,12,13,C
,,,61,Memory,Easy,"Remember these words: Apple, Chair, River. Which one was shown?",Apple,Car,Book,Tree,A
,,,62,Memory,Medium,Which sequence did you see earlier: 3-7-2?,3-7-2002,2-7-2003,7-3-2002,3-2-2007,A
,,,63,Memory,Hard,"After some questions, which word was mentioned earlier?",Table,River,Phone,Glass,B
,,,64,Attention,Easy,"What comes next: 2, 4, 6, ?",7,8,9,10,B
,,,65,Attention,Medium,Find the odd one out,Circle,Square,Triangle,Blue,D
,,,66,Attention,Hard,Count backward from 100 by 7. What comes after 93?,86,87,85,88,A
,,,67,Executive Function,Easy,"If today is Monday, tomorrow will be?",Sunday,Tuesday,Friday,Saturday,B
,,,68,Executive Function,Medium,"If you rearrange STOP, you get?",POST,TOPS,POTS,All of these,D
,,,69,Executive Function,Hard,"If today is Wednesday, what day will it be after 9 days?",Friday,Saturday,Sunday,Monday,B
,,,70,Orientation,Easy,Which month comes after March?,February,April,May,June,B
,,,71,Orientation,Medium,What season usually comes after summer?,Winter,Spring,Autumn,Rainy,C
,,,72,Orientation,Hard,How many months are there in a year?,10,11,12,13,C
,,,73,Memory,Easy,"Remember these words: Apple, Chair, River. Which one was shown?",Apple,Car,Book,Tree,A
,,,74,Memory,Medium,Which sequence did you see earlier: 3-7-2?,3-7-2002,2-7-2003,7-3-2002,3-2-2007,A
,,,75,Memory,Hard,"After some questions, which word was mentioned earlier?",Table,River,Phone,Glass,B
,,,76,Attention,Easy,"What comes next: 2, 4, 6, ?",7,8,9,10,B
,,,77,Attention,Medium,Find the odd one out,Circle,Square,Triangle,Blue,D
,,,78,Attention,Hard,Count backward from 100 by 7. What comes after 93?,86,87,85,88,A
,,,79,Executive Function,Easy,"If today is Monday, tomorrow will be?",Sunday,Tuesday,Friday,Saturday,B
,,,80,Executive Function,Medium,"If you rearrange STOP, you get?",POST,TOPS,POTS,All of these,D
,,,,,,,,,,,
,,,,,,,,,,,
,,,4,Attention,Easy,"What comes next: 2, 4, 6, ?",7,8,9,10,B
,,,5,Attention,Medium,Find the odd one out,Circle,Square,Triangle,Blue,D
,,,6,Attention,Hard,Count backward from 100 by 7. What comes after 93?,86,87,85,88,A
